# Constructed from biom file
#OTU ID	ZosCPWnewA	ZosCPWnewB	ZosCPWnewC	ZosCPWnewD	ZosCPWnewE	ZosCPWnewF	ZosCPWoldA	ZosCPWoldB	ZosCPWoldC	ZosCPWoldD	ZosCPWoldE	ZosCPWoldF	ZosCSPnewA	ZosCSPnewB	ZosCSPnewB2	ZosCSPnewC	ZosCSPnewD	ZosCSPnewE	ZosCSPnewG	ZosCSPnewH	ZosCSPnewL	ZosCSPnewM	ZosCSPoldA	ZosCSPoldB	ZosCSPoldC	ZosCSPoldH	ZosCSPoldL	ZosCSPoldM	ZosCSSnewA	ZosCSSnewB	ZosCSSnewC	ZosCSSnewE	ZosCSSnewF	ZosCSSoldA	ZosCSSoldB	ZosCSSoldC	ZosCSSoldD	ZosCSSoldE	ZosGSEnewA	ZosGSEnewB	ZosGSEnewC	ZosGSEnewD	ZosGSEnewE	ZosGSEoldB	ZosGSEoldC	ZosGSEoldD	ZosGSEoldE	ZosGSEoldF	ZosGSWnewA	ZosGSWnewB	ZosGSWnewC	ZosGSWnewD	ZosGSWnewE	ZosGSWnewF	ZosGSWoldA	ZosGSWoldB	ZosGSWoldC	ZosGSWoldD	ZosGSWoldE	ZosGSWoldF	ZosMcNnewA	ZosMcNnewB	ZosMcNnewC	ZosMcNnewD	ZosMcNnewE	ZosMcNnewF	ZosMcNoldA	ZosMcNoldB	ZosMcNoldC	ZosMcNoldD	ZosMcNoldE	ZosMcNoldF	ZosMcSnewA	ZosMcSnewB	ZosMcSnewC	ZosMcSnewD	ZosMcSnewE	ZosMcSnewF	ZosMcSoldA	ZosMcSoldB	ZosMcSoldC	ZosMcSoldD	ZosMcSoldE	ZosMcSoldF	ZosTQNnewB	ZosTQNnewC	ZosTQNnewD	ZosTQNnewF	ZosTQNoldA	ZosTQNoldB	ZosTQNoldC	ZosTQNoldD	ZosTQNoldE	ZosTQNoldF	ZosTQSnewA	ZosTQSnewB	ZosTQSnewC	ZosTQSnewD	ZosTQSnewE	ZosTQSnewF	ZosTQSoldA	ZosTQSoldB	ZosTQSoldC	ZosTQSoldD	ZosTQSoldF	asuCPW10	asuCPW2	asuCPW23	asuCPW30	asuCPW5	asuCPW67	asuCPW70	asuCPWedge	asuCPWinner	waterCIBa	waterCIBb	waterCOBa	waterCOBc	waterCOSa	waterCOSb	waterCOSc	waterCSPa	waterCSPb	waterCSPc	waterCWBa	waterCWBb	waterGSEa	waterGSEb	waterGSEc	waterGSWa	waterGSWb	waterGSWc	waterMcNa	waterMcNb	waterMcNc	waterMcNd	waterMcNe	waterMcNf	waterMcNg	waterMcSa	waterMcSb	waterMcSc	waterMcSd	waterMcSg	waterTQNa	waterTQNb	waterTQSa	waterTQSb	waterTQSc
40696	201.0	883.0	1955.0	12980.0	5993.0	12361.0	19.0	5.0	4.0	6.0	7.0	12.0	5455.0	756.0	8681.0	13957.0	10059.0	11104.0	7763.0	6932.0	2366.0	31590.0	3.0	5.0	6.0	11.0	16.0	4.0	1.0	80.0	249.0	1778.0	535.0	4.0	6.0	2.0	11.0	3.0	59.0	2425.0	1162.0	8429.0	1020.0	7.0	0.0	5.0	3.0	12.0	190.0	190.0	25057.0	3818.0	271.0	552.0	2.0	6.0	5.0	3.0	7.0	6.0	334.0	191.0	559.0	388.0	1283.0	992.0	3.0	5.0	11.0	34.0	8.0	10.0	12.0	7.0	1173.0	733.0	3385.0	15.0	10.0	9.0	13.0	20.0	48.0	0.0	10715.0	3716.0	4276.0	10291.0	4.0	12.0	5.0	2.0	6.0	2.0	2012.0	2388.0	2669.0	1.0	18.0	46.0	4.0	11.0	5.0	1.0	0.0	0.0	2.0	0.0	1.0	16.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	10.0	3.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	6.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	5.0	0.0	1.0	0.0	2.0	0.0	23.0
45388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	3.0	0.0	1.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	28.0	3.0	0.0	11.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	9.0	15.0	3.0	2.0	3.0
51459	169.0	35.0	8.0	59.0	45.0	0.0	254.0	37.0	63.0	138.0	110.0	115.0	3.0	11.0	493.0	0.0	0.0	1.0	4.0	0.0	7.0	0.0	33.0	34.0	26.0	4.0	50.0	6.0	30.0	0.0	0.0	0.0	0.0	385.0	68.0	20.0	1.0	3871.0	0.0	20.0	100.0	0.0	0.0	55.0	3.0	8.0	1.0	1.0	2.0	21.0	149.0	47.0	9.0	0.0	3.0	27.0	6.0	5.0	36.0	3.0	133.0	45.0	92.0	101.0	0.0	380.0	2.0	23.0	12.0	19.0	1.0	17.0	1617.0	9271.0	65.0	18.0	46.0	9.0	17.0	29.0	15.0	9.0	21.0	14.0	16.0	29.0	1.0	25.0	7.0	11.0	9.0	4.0	19.0	2.0	35.0	74.0	65.0	2716.0	8768.0	92.0	4.0	15.0	5.0	4.0	0.0	0.0	1.0	0.0	2.0	3.0	2.0	4.0	1.0	1.0	1094.0	1354.0	699.0	1452.0	734.0	468.0	609.0	1563.0	610.0	1852.0	5196.0	1079.0	1847.0	1361.0	2496.0	1499.0	5421.0	2745.0	556.0	413.0	3492.0	2916.0	1185.0	677.0	643.0	422.0	1433.0	961.0	3108.0	1098.0	1671.0	1668.0	1240.0	666.0	471.0
45266	332.0	85.0	347.0	348.0	482.0	104.0	55.0	20.0	21.0	33.0	38.0	69.0	714.0	1006.0	1466.0	39.0	620.0	1286.0	87.0	248.0	4392.0	315.0	13.0	350.0	92.0	43.0	63.0	8.0	771.0	1.0	3.0	0.0	269.0	44.0	5.0	13.0	24.0	60.0	13430.0	3866.0	814.0	64.0	101.0	161.0	29.0	8.0	21.0	24.0	428.0	10742.0	272.0	1394.0	513.0	465.0	381.0	756.0	155.0	29.0	1042.0	124.0	157.0	442.0	281.0	208.0	1.0	454.0	3.0	62.0	39.0	64.0	10.0	70.0	370.0	1209.0	347.0	77.0	298.0	419.0	29.0	9.0	11.0	15.0	102.0	10.0	889.0	3339.0	3723.0	89.0	13.0	9.0	69.0	24.0	4126.0	26.0	1223.0	930.0	323.0	1558.0	234.0	442.0	9.0	178.0	17.0	44.0	229.0	0.0	0.0	2.0	2.0	2.0	0.0	3.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	8.0	2.0	6.0	2.0	11.0	29.0	55.0	21.0	13.0	6.0	23.0	16.0	4.0	4.0	9.0	4.0	5.0	0.0	23.0	6.0	12.0	23.0	21.0	3.0	76.0
51144	138.0	215.0	235.0	100.0	281.0	102.0	1391.0	4323.0	3124.0	3693.0	1840.0	3438.0	53.0	339.0	166.0	25.0	63.0	103.0	4.0	21.0	84.0	6.0	88.0	1715.0	1263.0	175.0	33.0	3.0	546.0	1.0	0.0	83.0	0.0	25.0	19.0	85.0	31.0	121.0	0.0	1.0	25.0	51.0	1.0	12.0	4.0	108.0	18.0	75.0	0.0	11.0	0.0	2.0	22.0	0.0	11.0	149.0	23.0	20.0	58.0	8.0	69.0	53.0	22.0	89.0	0.0	1.0	31.0	319.0	114.0	105.0	123.0	183.0	4.0	30.0	0.0	4.0	32.0	175.0	46.0	61.0	67.0	47.0	243.0	68.0	212.0	94.0	348.0	14.0	704.0	115.0	499.0	31.0	1017.0	423.0	0.0	3.0	193.0	0.0	0.0	88.0	13.0	6.0	0.0	0.0	35.0	1109.0	1616.0	1059.0	672.0	4678.0	914.0	1992.0	969.0	2944.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	13.0	2.0	5.0	1.0	1.0	1.0	1.0	2.0	3.0	6.0	6.0	13.0	11.0	11.0	1.0	0.0	6.0	10.0	11.0	19.0	12.0	17.0	7.0	3.0	2.0	2.0	9.0
38451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
47051	35.0	44.0	60.0	500.0	110.0	10.0	222.0	64.0	148.0	90.0	110.0	364.0	14.0	6.0	62.0	1.0	119.0	18.0	7.0	68.0	96.0	42.0	63.0	445.0	621.0	60.0	374.0	14.0	0.0	3.0	19.0	0.0	0.0	22.0	24.0	79.0	93.0	9.0	0.0	2.0	0.0	0.0	1.0	63.0	5.0	8.0	9.0	59.0	0.0	0.0	1.0	8.0	0.0	0.0	64.0	24.0	230.0	67.0	5.0	139.0	47.0	15.0	43.0	4.0	0.0	0.0	340.0	875.0	938.0	1418.0	397.0	503.0	4.0	0.0	0.0	0.0	7.0	21.0	272.0	114.0	653.0	196.0	210.0	76.0	5.0	11.0	39.0	0.0	315.0	1080.0	1663.0	548.0	423.0	399.0	154.0	45.0	483.0	54.0	11.0	127.0	195.0	778.0	116.0	358.0	6.0	19.0	38.0	60.0	21.0	38.0	15.0	46.0	13.0	72.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	48.0	75.0	9.0	37.0	5.0	1.0	3.0	0.0	0.0	2.0	3.0	14.0	4.0	11.0	27.0	2.0	3.0	9.0	9.0	4.0	14.0	26.0	2.0	34.0	11.0	9.0	3.0	56.0
52106	180.0	45.0	23.0	28.0	16.0	0.0	235.0	601.0	207.0	457.0	252.0	421.0	6.0	2.0	17.0	0.0	0.0	6.0	5.0	1.0	11.0	1.0	16.0	146.0	1030.0	0.0	11.0	0.0	9.0	0.0	1.0	0.0	0.0	50.0	67.0	132.0	170.0	12.0	0.0	2.0	24.0	0.0	2.0	1.0	1.0	71.0	16.0	30.0	1.0	29.0	32.0	0.0	0.0	0.0	28.0	15.0	8.0	30.0	15.0	13.0	5.0	1.0	0.0	23.0	0.0	13.0	2.0	33.0	13.0	21.0	4.0	32.0	0.0	11.0	0.0	4.0	0.0	9.0	8.0	4.0	2.0	5.0	19.0	5.0	0.0	24.0	0.0	10.0	21.0	29.0	10.0	3.0	63.0	75.0	0.0	0.0	7.0	0.0	0.0	2.0	14.0	6.0	0.0	10.0	0.0	95.0	130.0	393.0	41.0	463.0	132.0	199.0	403.0	193.0	1454.0	839.0	1619.0	1043.0	1752.0	3101.0	1451.0	5420.0	2092.0	5581.0	8963.0	3930.0	1192.0	645.0	1692.0	906.0	4611.0	1447.0	1184.0	1042.0	3024.0	2342.0	1000.0	795.0	908.0	1206.0	2618.0	1127.0	3338.0	1016.0	2804.0	4615.0	1724.0	479.0	1481.0
47196	0.0	0.0	1.0	58.0	0.0	0.0	0.0	0.0	2.0	37.0	1.0	10.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	28.0	1.0	0.0	0.0	0.0	0.0	19.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	5.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0
24786	0.0	2.0	8.0	10.0	0.0	0.0	16.0	6.0	0.0	2.0	1.0	2.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	15.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	6.0	0.0	27.0	3.0	8.0	3.0	5.0	1.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	6.0	1.0	4.0	8.0	0.0	0.0	1.0	0.0	1.0	7.0	0.0	17.0	3.0	9.0	11.0	0.0	3.0	12.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	4.0	2041.0	2970.0	1007.0	3656.0	1427.0	727.0	844.0	2374.0	601.0	2593.0	11195.0	2298.0	1414.0	1872.0	2552.0	1341.0	3117.0	1936.0	1039.0	511.0	3907.0	3621.0	1761.0	1953.0	1328.0	1115.0	2093.0	2076.0	4859.0	1840.0	3856.0	7610.0	2485.0	1282.0	990.0
40537	47.0	3.0	8.0	0.0	1.0	0.0	7.0	2.0	2.0	4.0	7.0	11.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	22.0	4.0	1.0	0.0	0.0	0.0	4.0	0.0	12.0	0.0	8.0	0.0	69.0	0.0	11.0	0.0	4.0	2.0	1.0	4.0	3.0	0.0	12.0	0.0	4.0	1.0	0.0	3.0	1.0	11.0	5.0	0.0	0.0	11.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	19.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	186.0	215.0	71.0	133.0	55.0	30.0	21.0	342.0	219.0	377.0	496.0	127.0	175.0	596.0	262.0	127.0	271.0	227.0	305.0	126.0	1048.0	846.0	301.0	1642.0	238.0	115.0	302.0	302.0	562.0	398.0	214.0	634.0	99.0	55.0	30.0
52079	0.0	22.0	19.0	30.0	144.0	78.0	55.0	19.0	18.0	72.0	90.0	149.0	21.0	13.0	21.0	2.0	36.0	1.0	0.0	0.0	478.0	8.0	25.0	25.0	8.0	2.0	24.0	1.0	5.0	41.0	0.0	0.0	0.0	3.0	48.0	13.0	27.0	7.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	3.0	0.0	1.0	4.0	5.0	17.0	20.0	6.0	0.0	64.0	6.0	23.0	7.0	36.0	12.0	9.0	11.0	89.0	0.0	0.0	82.0	2.0	11.0	14.0	19.0	6.0	21.0	18.0	0.0	6.0	9.0	0.0	1.0	7.0	12.0	5.0	6.0	0.0	2.0	1.0	0.0	3.0	13.0	15.0	22.0	13.0	0.0	1.0	0.0	3.0	2.0	7.0	0.0	3.0	7.0	9.0	14.0	39.0	1495.0	1795.0	661.0	1354.0	1061.0	692.0	877.0	6044.0	1827.0	6885.0	8592.0	1851.0	942.0	851.0	1180.0	482.0	1773.0	1105.0	1697.0	520.0	6181.0	7659.0	3134.0	2641.0	1207.0	563.0	1830.0	2368.0	3713.0	1788.0	2560.0	4426.0	1083.0	1002.0	402.0
45304	0.0	11.0	58.0	29.0	21.0	0.0	59.0	5.0	12.0	13.0	44.0	29.0	176.0	1525.0	4338.0	110.0	529.0	762.0	34.0	143.0	340.0	274.0	18.0	313.0	860.0	179.0	279.0	75.0	661.0	45.0	44.0	5.0	12.0	4025.0	69.0	22.0	5.0	1635.0	154.0	261.0	34.0	1.0	58.0	42.0	1.0	5.0	0.0	4.0	473.0	2520.0	240.0	440.0	107.0	226.0	211.0	393.0	243.0	8.0	3095.0	57.0	239.0	1042.0	153.0	922.0	34.0	231.0	8.0	40.0	10.0	36.0	8.0	27.0	2657.0	3067.0	737.0	465.0	224.0	72.0	16.0	23.0	12.0	11.0	69.0	28.0	79.0	92.0	708.0	35.0	11.0	2.0	27.0	11.0	68.0	27.0	328.0	686.0	46.0	4845.0	363.0	228.0	9.0	60.0	12.0	9.0	32.0	1.0	0.0	1.0	0.0	1.0	5.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	8.0	9.0	0.0	0.0	1.0	1.0	0.0	3.0	1.0	16.0	1.0	0.0	2.0	2.0	6.0	6.0	3.0	4.0	0.0	4.0	0.0	9.0	1.0	0.0	3.0	3.0	0.0	34.0
50392	284.0	155.0	150.0	307.0	400.0	85.0	286.0	53.0	72.0	338.0	325.0	1702.0	342.0	2117.0	2658.0	0.0	348.0	662.0	39.0	224.0	161.0	33.0	93.0	245.0	2166.0	108.0	112.0	24.0	938.0	1.0	15.0	0.0	2.0	129.0	143.0	100.0	44.0	225.0	2.0	220.0	60.0	1.0	23.0	29.0	22.0	70.0	123.0	1505.0	56.0	602.0	0.0	228.0	183.0	54.0	35.0	733.0	40.0	2.0	114.0	75.0	0.0	261.0	464.0	334.0	0.0	658.0	3.0	44.0	18.0	71.0	1.0	45.0	186.0	267.0	651.0	93.0	210.0	679.0	91.0	138.0	149.0	168.0	293.0	268.0	52.0	34.0	35.0	12.0	283.0	690.0	867.0	21.0	224.0	330.0	2.0	107.0	262.0	78.0	28.0	62.0	17.0	29.0	2.0	0.0	46.0	60.0	7.0	675.0	203.0	18.0	81.0	1420.0	33.0	3786.0	3.0	0.0	4.0	0.0	0.0	0.0	1.0	10.0	84.0	4.0	45.0	1.0	2.0	1.0	0.0	4.0	4.0	5.0	19.0	18.0	17.0	21.0	11.0	5.0	9.0	5.0	10.0	48.0	33.0	2.0	42.0	131.0	4.0	2.0	35.0
45935	0.0	74.0	47.0	835.0	89.0	0.0	370.0	156.0	388.0	453.0	247.0	639.0	110.0	12.0	128.0	0.0	54.0	74.0	24.0	124.0	182.0	56.0	134.0	832.0	1485.0	88.0	478.0	76.0	0.0	50.0	2.0	0.0	0.0	8.0	29.0	114.0	75.0	8.0	0.0	0.0	106.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	11.0	9.0	1.0	10.0	13.0	0.0	0.0	0.0	0.0	6.0	9.0	0.0	8.0	12.0	6.0	1.0	58.0	145.0	92.0	0.0	73.0	39.0	22.0	3.0	27.0	280.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	492.0	291.0	373.0	347.0	1425.0	226.0	722.0	318.0	566.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	119.0	283.0	54.0	25.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	1.0	8.0	2.0	0.0	1.0	1.0	5.0	0.0	8.0	3.0	6.0	9.0	0.0	2.0	3.0
44888	73.0	34.0	38.0	13.0	28.0	0.0	453.0	202.0	147.0	215.0	211.0	248.0	13.0	29.0	117.0	0.0	0.0	288.0	16.0	40.0	106.0	21.0	115.0	725.0	368.0	2248.0	2183.0	244.0	124.0	60.0	10.0	0.0	0.0	126.0	174.0	324.0	247.0	2488.0	1.0	6.0	43.0	0.0	15.0	57.0	29.0	422.0	276.0	347.0	0.0	50.0	30.0	20.0	72.0	0.0	60.0	161.0	57.0	52.0	42.0	217.0	38.0	4.0	40.0	11.0	0.0	3.0	39.0	46.0	36.0	361.0	36.0	436.0	30.0	135.0	156.0	0.0	55.0	247.0	63.0	243.0	98.0	228.0	502.0	80.0	69.0	30.0	374.0	28.0	648.0	44.0	632.0	72.0	2041.0	1171.0	107.0	140.0	252.0	968.0	1112.0	133.0	461.0	215.0	287.0	248.0	626.0	952.0	527.0	750.0	314.0	1234.0	274.0	932.0	268.0	374.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	7.0	0.0	1.0	1.0	1.0	2.0	1.0	7.0	1.0	4.0	2.0	7.0	6.0	8.0	6.0	5.0	0.0	4.0	12.0	10.0	12.0	26.0	1.0	31.0	8.0	8.0	1.0	25.0
45078	0.0	3.0	7.0	1.0	0.0	0.0	7.0	0.0	0.0	3.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	50.0	11.0	48.0	67.0	55.0	0.0	7.0	9.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	0.0	0.0	1.0	1.0	4.0	0.0	6.0	0.0	0.0	22.0	17.0	0.0	0.0	0.0	0.0	3.0	0.0	11.0	0.0	2.0	4.0	4.0	0.0	12.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	56.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	55.0	54.0	34.0	75.0	1.0	16.0	28.0	34.0	51.0	177.0	132.0	16.0	103.0	380.0	197.0	67.0	145.0	104.0	93.0	40.0	530.0	448.0	134.0	2849.0	251.0	26.0	202.0	7.0	211.0	102.0	228.0	351.0	46.0	3.0	28.0
42397	40.0	4.0	14.0	78.0	204.0	30.0	24.0	1.0	14.0	17.0	10.0	37.0	325.0	743.0	544.0	499.0	1224.0	163.0	44.0	242.0	389.0	90.0	32.0	87.0	85.0	13.0	227.0	25.0	77.0	2602.0	2663.0	399.0	947.0	674.0	63.0	63.0	444.0	60.0	58.0	69.0	503.0	60.0	91.0	51.0	3.0	11.0	0.0	17.0	57.0	254.0	125.0	320.0	616.0	2735.0	24.0	924.0	291.0	63.0	96.0	536.0	770.0	348.0	1181.0	518.0	139.0	634.0	46.0	38.0	17.0	37.0	12.0	34.0	258.0	429.0	106.0	192.0	1326.0	59.0	98.0	68.0	34.0	12.0	147.0	15.0	120.0	202.0	123.0	472.0	5.0	2.0	15.0	5.0	26.0	3.0	70.0	90.0	42.0	459.0	356.0	6967.0	15.0	15.0	1.0	59.0	179.0	36.0	2.0	33.0	21.0	7.0	19.0	67.0	13.0	6.0	26.0	4.0	8.0	10.0	1.0	10.0	1.0	1.0	4.0	2.0	30.0	28.0	4.0	8.0	11.0	6.0	103.0	7.0	3.0	4.0	21.0	30.0	3.0	15.0	20.0	10.0	31.0	0.0	7.0	7.0	20.0	36.0	4.0	10.0	28.0
41261	36.0	20.0	33.0	218.0	55.0	0.0	109.0	39.0	40.0	38.0	7.0	36.0	65.0	16.0	20.0	1.0	1.0	33.0	0.0	3.0	28.0	15.0	138.0	655.0	114.0	260.0	146.0	22.0	11.0	0.0	11.0	0.0	0.0	0.0	13.0	19.0	37.0	0.0	0.0	31.0	0.0	0.0	0.0	108.0	91.0	72.0	44.0	253.0	14.0	262.0	10.0	79.0	66.0	66.0	106.0	2383.0	246.0	83.0	1761.0	300.0	22.0	3.0	0.0	1.0	0.0	0.0	69.0	31.0	130.0	199.0	68.0	53.0	2.0	1.0	1.0	1.0	0.0	81.0	115.0	107.0	230.0	41.0	72.0	56.0	2.0	88.0	94.0	6.0	53.0	359.0	652.0	73.0	88.0	191.0	0.0	0.0	223.0	85.0	0.0	3.0	56.0	45.0	2.0	0.0	14.0	14.0	54.0	1.0	3.0	49.0	18.0	14.0	15.0	78.0	10.0	6.0	1.0	64.0	1.0	7.0	0.0	3.0	20.0	3.0	16.0	8.0	20.0	10.0	22.0	14.0	61.0	26.0	10.0	11.0	35.0	36.0	8.0	12.0	12.0	4.0	7.0	0.0	44.0	8.0	47.0	46.0	9.0	6.0	79.0
14827	43.0	61.0	12.0	6.0	58.0	7.0	269.0	535.0	592.0	741.0	322.0	769.0	0.0	4.0	1.0	2.0	0.0	16.0	0.0	13.0	23.0	2.0	24.0	106.0	203.0	6.0	14.0	3.0	21.0	0.0	1.0	0.0	0.0	20.0	36.0	230.0	471.0	8.0	0.0	16.0	8.0	0.0	12.0	115.0	82.0	513.0	537.0	676.0	0.0	27.0	2.0	1.0	49.0	67.0	57.0	150.0	291.0	45.0	95.0	475.0	34.0	1.0	14.0	77.0	0.0	2.0	142.0	1021.0	607.0	1737.0	376.0	1028.0	205.0	13.0	85.0	18.0	117.0	182.0	299.0	352.0	713.0	272.0	721.0	458.0	75.0	83.0	74.0	18.0	492.0	217.0	520.0	132.0	572.0	527.0	43.0	1.0	214.0	0.0	26.0	27.0	192.0	218.0	116.0	184.0	73.0	95.0	336.0	100.0	38.0	911.0	41.0	112.0	162.0	304.0	0.0	0.0	0.0	11.0	1.0	0.0	2.0	11.0	16.0	27.0	1.0	1.0	2.0	4.0	6.0	1.0	7.0	5.0	12.0	15.0	15.0	14.0	6.0	31.0	2.0	6.0	12.0	0.0	10.0	7.0	17.0	23.0	5.0	1.0	25.0
